"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bender, Anthony",669622,2024,29,"59","53.0",228,204,50,35,11,1,3,59,18,25.9,7.9,".245",".353",".317","0.670",".230",".340",".296",".288",".304",".110","71",19.4,13.3,11,30.4,25.1,"7.3",7,"87.7","8.7",32,4.8,40.8,"75.789157808","93.922491164",22.2,42.9
"Musgrove, Joe",605397,2024,31,"19","99.2",410,375,94,59,21,0,14,101,23,24.6,5.6,".251",".419",".310","0.729",".248",".421",".317",".321",".309",".174","71.5",25.4,15.8,11.7,34.4,25.5,"7.3",16,"90.3","13.8",35.5,10.5,40.6,"80.599201739","94.1443128",28.3,47.4
"Smith, Burch",572143,2024,34,"50","56.1",241,222,64,45,13,0,6,46,12,19.1,5,".288",".428",".328","0.756",".268",".436",".328",".325",".312",".168","71",19.5,16.9,13.7,38.3,31,"7.1",8,"90.7","12.9",34.8,9.4,44.8,"80.714325955","94.889536124",20.7,51.3
"Mantiply, Joe",573009,2024,33,"75","59.2",243,225,52,33,14,4,1,53,18,21.8,7.4,".231",".342",".288","0.630",".229",".369",".265",".278",".286",".140","71.4",18.9,14.8,11,34.1,25.2,"7.5",9,"88.1","5.4",26.2,7.6,41.9,"76.265567024","94.272291557",27.5,52.8
"Fried, Max",608331,2024,30,"29","174.1",714,645,146,116,16,1,13,166,57,23.2,8,".226",".315",".295","0.610",".245",".358",".273",".299",".312",".113","71.2",19.2,13.4,10.6,31.1,24.6,"7.2",29,"86.3","3",30.4,5,34.6,"73.871292176","93.362715837",24.1,45.9
"Matz, Steven",571927,2024,33,"12","44.1",190,171,49,32,10,0,7,33,15,17.4,7.9,".287",".468",".349","0.817",".269",".425",".352",".331",".335",".156","71",17.3,11.9,10,26.6,22.3,"7.1",3,"87.6","12.3",44.3,7.9,30.7,"77.279398986","93.058805109",18.1,48.3
"Canning, Griffin",656288,2024,28,"32","171.2",739,656,174,112,28,3,31,130,66,17.6,8.9,".265",".459",".334","0.793",".259",".437",".341",".334",".330",".178","72.2",26.8,14.7,11.3,36.1,27.8,"7.4",26,"90.5","14.3",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
"Warren, Austin",681810,2024,28,"6","10.2",42,37,9,7,1,0,1,7,5,16.7,11.9,".243",".351",".333","0.684",".251",".414",".308",".332",".340",".163","68.4",10.1,9.2,7.6,27.7,22.8,"7",1,"84.3","11.4",33.3,6.7,26.7,"71.880104","92.341588333",19.3,48
"Robert, Daniel",642016,2024,29,"4","5.2",26,22,6,5,0,0,1,6,2,23.1,7.7,".273",".409",".385","0.794",".216",".327",".357",".307",".337",".110","70.5",15.8,3.4,2.6,24.1,18.4,"7",2,"84.8","28.5",31.3,6.3,18.8,"74.8312225","91.336490625",27.7,45.6
"Estévez, Carlos",608032,2024,31,"54","55.0",212,198,38,26,5,2,5,50,12,23.6,5.7,".192",".313",".241","0.554",".220",".391",".235",".278",".268",".171","71.3",19.7,11.1,8.2,33.6,25,"7.1",5,"90.3","19.5",38.9,10.1,42.3,"81.0762316","94.476650872",25.6,52.3
