Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Ohtani, Shohei",Dodgers,DH/RHP,70000000,10,700000000,70000000.0,Shohei Ohtani,636,731,197,98,38,7,54,162,81,22.2,11.1,0.31,0.646,0.39,1.036,0.314,0.66,0.431,0.442,0.396,0.347,76.3,64.1,25.3,17.8,37.3,26.3,7.8,10,95.8,16.2,37.8,21.5,60.1,106.727792385,98.772122364,29.8,47.3
"Judge, Aaron",Yankees,OF,40000000,9,360000000,40000000.0,Aaron Judge,559,704,180,85,36,1,58,171,133,24.3,18.9,0.322,0.701,0.458,1.159,0.31,0.723,0.476,0.479,0.449,0.413,77.2,75.1,25.6,18.0,33.7,23.7,8.2,16,96.2,19.0,40.8,26.9,61.0,107.20043567,99.103701521,30.7,42.0
"Rendon, Anthony",Angels,3,38571429,7,245000000,35000000.0,Anthony Rendon,206,238,45,35,10,0,0,35,23,14.7,9.7,0.218,0.267,0.307,0.574,0.224,0.313,0.264,0.286,0.314,0.089,68.3,1.9,9.5,8.4,38.3,34.0,6.7,4,87.9,14.1,31.4,2.3,37.1,97.612997471,92.991806897,12.5,40.1
"Trout, Mike",Angels,OF,37116667,12,426500000,35541666.67,Mike Trout,109,126,24,11,1,2,10,27,16,21.4,12.7,0.22,0.541,0.325,0.866,0.271,0.591,0.365,0.405,0.37,0.32,75.7,56.9,14.9,12.2,24.0,19.7,7.6,4,89.2,25.2,40.2,17.1,41.5,101.782849756,94.924062683,20.5,42.5
"Seager, Corey",Rangers,SS,35000000,10,325000000,32500000.0,Corey Seager,475,533,132,81,21,0,30,96,53,18.0,9.9,0.278,0.512,0.353,0.865,0.289,0.561,0.365,0.39,0.364,0.272,72.3,20.9,19.5,15.3,33.3,26.1,6.6,14,92.1,13.5,38.6,15.2,50.7,103.274395474,96.157523456,23.4,53.0
"Correa, Carlos",Twins,SS,33333333,6,200000000,33333333.0,Carlos Correa,319,367,99,63,20,2,14,61,40,16.6,10.9,0.31,0.517,0.388,0.905,0.278,0.455,0.385,0.358,0.363,0.177,74.5,45.4,19.9,16.2,32.2,26.2,7.3,4,90.3,8.9,34.4,9.2,44.7,102.536128244,95.462669198,20.4,44.6
"Arenado, Nolan",Cardinals,3,32675167,8,260000000,32500000.0,Nolan Arenado,578,635,157,118,23,0,16,92,44,14.5,6.9,0.272,0.394,0.325,0.719,0.255,0.356,0.314,0.296,0.312,0.101,70.7,12.8,9.2,7.8,32.3,27.6,8.2,29,86.3,16.9,35.9,3.2,31.6,96.924147927,92.483246402,17.2,46.8
"Lindor, Francisco",Mets,SS,32477639,10,341000000,34100000.0,Francisco Lindor,618,689,169,96,39,1,33,127,56,18.4,8.1,0.273,0.5,0.344,0.844,0.283,0.528,0.363,0.379,0.353,0.246,72.3,23.2,18.9,14.4,37.6,28.6,7.6,14,90.9,17.0,35.4,13.6,47.4,101.098117236,95.07615815,23.7,48.7
"Stanton, Giancarlo",Yankees,DH,32000000,13,325000000,25000000.0,Giancarlo Stanton,417,459,97,50,20,0,27,143,38,31.2,8.3,0.233,0.475,0.298,0.773,0.249,0.509,0.33,0.352,0.315,0.26,81.3,98.7,27.6,18.8,30.5,20.8,8.6,15,94.6,14.7,34.8,20.7,55.3,108.185328759,99.180033333,34.4,46.8
"Soto, Juan",Yankees,OF,31000000,,0,0.0,Juan Soto,576,713,166,90,31,4,41,119,129,16.7,18.1,0.288,0.569,0.419,0.988,0.316,0.646,0.421,0.462,0.445,0.33,75.5,60.3,25.9,21.0,39.5,32.0,7.3,30,94.2,10.7,35.4,19.7,57.0,105.650123728,97.994705143,21.5,37.2
