Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Scherzer, Max",Rangers,RHP,43333334,3,130000000,43333333.33,Max Scherzer,9,43.1,177,165,40,22,11,0,7,40,10,22.6,5.6,0.242,0.436,0.288,0.724,0.243,0.399,0.312,0.304,0.291,0.156,71.8,24.5,12.7,9.0,27.1,19.3,7.4,5.0,87.9,20.8,40.5,7.9,34.9,76.868146557,93.48110123,29.2,54.7
"Verlander, Justin",Astros,RHP,43333333,2,86666666,43333333.0,Justin Verlander,17,90.1,396,358,98,67,14,2,15,74,27,18.7,6.8,0.274,0.45,0.331,0.781,0.234,0.389,0.337,0.301,0.297,0.155,71.0,18.2,10.6,8.5,32.6,26.0,7.3,6.0,88.6,20.9,39.1,6.9,32.5,78.654585694,93.349929268,21.3,48.7
"deGrom, Jacob",Rangers,RHP,40000000,5,185000000,37000000.0,Jacob deGrom,3,10.2,44,42,11,7,3,0,1,14,1,31.8,2.3,0.262,0.405,0.295,0.7,0.2,0.325,0.304,0.247,0.236,0.125,72.2,35.1,20.0,13.5,36.0,24.3,7.5,1.0,92.1,24.8,25.0,10.7,53.6,81.604607857,96.487094444,32.1,48.8
"Cole, Gerrit",Yankees,RHP,36000000,9,324000000,36000000.0,Gerrit Cole,17,95.0,390,355,78,52,14,1,11,99,29,25.4,7.4,0.22,0.358,0.29,0.648,0.226,0.376,0.286,0.296,0.296,0.15,71.6,20.9,13.8,10.8,32.7,25.6,7.2,12.0,89.7,17.0,31.6,7.4,39.5,79.402838516,94.074448672,24.8,48.3
"Corbin, Patrick",Nationals,LHP,34556200,6,140000000,23333333.33,Patrick Corbin,32,174.2,764,697,208,134,42,7,25,139,54,18.2,7.1,0.298,0.486,0.348,0.834,0.295,0.473,0.357,0.357,0.348,0.178,72.2,27.2,19.5,15.5,35.9,28.6,7.5,25.0,90.8,10.0,37.3,8.3,46.7,79.877843129,95.30570991,22.4,48.2
"Snell, Blake",Giants,LHP,32000000,2,62000000,31000000.0,Blake Snell,20,104.0,418,373,65,45,13,1,6,145,44,34.7,10.5,0.174,0.263,0.263,0.526,0.178,0.278,0.241,0.249,0.267,0.099,71.4,22.1,9.1,5.9,28.3,18.2,7.4,30.0,86.5,14.6,32.9,5.7,28.9,75.529303097,92.772378489,37.7,46.0
"Nola, Aaron",Phillies,RHP,24571428,7,172000000,24571429.0,Aaron Nola,33,199.1,820,764,189,118,39,2,30,197,50,24.0,6.1,0.247,0.421,0.295,0.716,0.244,0.388,0.31,0.299,0.294,0.144,71.7,24.5,14.6,11.1,32.8,24.8,7.5,31.0,88.5,12.0,35.4,7.2,38.2,77.265343569,94.038174053,25.2,48.6
"Castillo, Luis",Mariners,RHP,24150000,5,108000000,21600000.0,Luis Castillo,30,175.1,719,663,158,95,36,2,25,175,47,24.3,6.5,0.238,0.412,0.293,0.705,0.244,0.404,0.305,0.306,0.298,0.16,71.3,19.0,13.4,10.1,32.0,24.0,7.2,25.0,89.7,16.3,37.0,8.5,41.9,78.938131564,94.546516728,25.9,50.6
"Wheeler, Zack",Phillies,RHP,23500000,5,118000000,23600000.0,Zack Wheeler,32,200.0,787,723,139,86,28,5,20,224,52,28.5,6.6,0.192,0.328,0.253,0.581,0.197,0.328,0.256,0.261,0.259,0.131,71.2,20.6,8.4,6.2,26.2,19.2,7.1,21.0,86.5,13.5,32.6,8.3,33.6,74.93491968,93.046728036,27.5,51.2
"Ray, Robbie",Giants,LHP,23000000,5,115000000,23000000.0,Robbie Ray,7,30.2,129,106,20,11,3,0,6,43,15,33.3,11.6,0.189,0.387,0.32,0.707,0.18,0.343,0.316,0.299,0.313,0.163,71.4,19.8,9.4,6.2,23.3,15.2,7.3,8.0,86.8,19.2,34.4,9.4,35.9,74.853164688,93.415278906,36.0,48.9
"Bassitt, Chris",Blue Jays,RHP,22000000,3,63000000,21000000.0,Chris Bassitt,31,171.0,758,667,180,132,29,1,18,168,70,22.2,9.2,0.27,0.397,0.352,0.749,0.256,0.399,0.331,0.327,0.341,0.143,71.2,19.6,14.4,11.6,30.6,24.6,7.1,14.0,87.8,14.3,36.3,7.5,37.1,75.64419492,94.077816493,21.7,45.0
"Gausman, Kevin",Blue Jays,RHP,22000000,5,110000000,22000000.0,Kevin Gausman,31,181.0,756,693,165,101,41,3,20,162,56,21.4,7.4,0.238,0.392,0.296,0.688,0.257,0.449,0.3,0.333,0.315,0.192,71.9,25.5,15.0,11.6,32.1,24.7,7.3,14.0,90.2,16.1,35.5,9.7,42.4,79.496181832,94.740771683,23.4,49.9
"Morton, Charlie",Braves,RHP,20000000,,0,0.0,Charlie Morton,30,165.1,701,613,154,94,35,2,23,167,65,23.8,9.3,0.251,0.427,0.339,0.766,0.243,0.402,0.335,0.326,0.333,0.159,71.6,23.6,13.3,10.1,32.3,24.5,7.5,22.0,88.7,9.0,33.0,9.3,38.4,77.729736875,93.929105313,26.1,46.6
"Musgrove, Joe",Padres,RHP,20000000,5,100000000,20000000.0,Joe Musgrove,19,99.2,410,375,94,59,21,0,14,101,23,24.6,5.6,0.251,0.419,0.31,0.729,0.248,0.421,0.317,0.321,0.309,0.174,71.5,25.4,15.8,11.7,34.4,25.5,7.3,16.0,90.3,13.8,35.5,10.5,40.6,80.599201739,94.1443128,28.3,47.4
