Feature,Importance
home_run,0.06197021374430672
on_base_plus_slg,0.05695393097402361
launch_angle_avg,0.04380552446631104
walk,0.04369437063827463
xwoba,0.040938003232461134
triple,0.038674659019438624
xobp,0.03765611348859923
hit,0.03458353749439966
avg_swing_length,0.03355442168980676
k_percent,0.033211686147451985
double,0.03062843699834534
pa,0.030181230223556215
sweet_spot_percent,0.03017215773212542
xba,0.02702610300793716
swing_percent,0.02530856816165068
bb_percent,0.025181538113377935
squared_up_contact,0.024680023250161373
ab,0.024452936873923928
whiff_percent,0.024090572981013237
on_base_percent,0.023959217644823755
woba,0.02259012949340335
batting_avg,0.022493773407595622
squared_up_swing,0.02209624154355941
slg_percent,0.02106239200286543
single,0.019689127063283678
fast_swing_rate,0.019546780288989055
swords,0.019532445227211183
strikeout,0.018388759286858222
avg_best_speed,0.018096194179359624
hard_hit_percent,0.01806507050779289
barrel_batted_rate,0.016965475821156647
avg_hyper_speed,0.01676438288244444
xslg,0.016253074910174053
blasts_swing,0.013630635909753979
exit_velocity_avg,0.013056538028417648
avg_swing_speed,0.011807760213642741
xiso,0.011806798711364426
blasts_contact,0.007431174640139208
