Feature,Coefficient
xslg,-31.614122445091763
xiso,20.37113744429456
xba,15.620518791676826
p_formatted_ip,8.779253797695356
pa,-7.698276015403454
ab,-4.126182614770282
single,1.72518161182202
blasts_swing,1.521984026463254
blasts_contact,-1.215801342480211
hit,1.183165813836031
squared_up_swing,-1.0569969244863004
woba,0.9020688806830556
squared_up_contact,0.7522561423292338
exit_velocity_avg,-0.729373947084318
on_base_percent,-0.6581847449449728
walk,0.6526571099948743
on_base_plus_slg,-0.4332587410795912
k_percent,0.39713542379076633
avg_best_speed,0.3802037335589191
avg_hyper_speed,0.3518397553390018
batting_avg,0.3017267202127328
slg_percent,-0.270284106350068
xobp,0.23763099393510947
launch_angle_avg,0.17490349775647904
bb_percent,-0.1551088525555156
whiff_percent,-0.14955501469664756
double,0.13307666997661163
home_run,0.12342214236642005
sweet_spot_percent,0.12320739496087874
avg_swing_length,0.11789034469300881
hard_hit_percent,-0.1035530525734969
p_game,-0.0910972196599338
xwoba,-0.07021212383667691
strikeout,-0.06929535999943934
barrel_batted_rate,0.06295570307453358
swing_percent,-0.041498494114073914
swords,-0.03628898898190758
triple,-0.025634442728726177
fast_swing_rate,0.013275781056261968
avg_swing_speed,-0.010812444919914736
