Feature,Raw Score,Normalized Score
home_run,43.733963,1.0
p_game,43.40599,0.92921203
blasts_swing,42.62217,0.760036
avg_swing_speed,42.402298,0.71257997
k_percent,42.373276,0.706316
swing_percent,42.133675,0.65460163
whiff_percent,42.103607,0.648112
swords,42.042393,0.6348998
fast_swing_rate,42.020035,0.6300742
avg_best_speed,41.502914,0.51846147
blasts_contact,41.499306,0.51768255
avg_swing_length,41.495155,0.51678675
strikeout,41.42722,0.50212383
hard_hit_percent,41.317917,0.4785325
avg_hyper_speed,41.24546,0.46289387
squared_up_contact,41.163742,0.44525617
walk,40.993824,0.40858188
on_base_percent,40.874676,0.38286552
hit,40.739723,0.35373804
exit_velocity_avg,40.5737,0.31790438
woba,40.53685,0.30995086
ab,40.534405,0.30942312
sweet_spot_percent,40.52777,0.3079913
single,40.346897,0.26895237
squared_up_swing,40.340504,0.26757246
launch_angle_avg,40.283318,0.25522968
double,40.252953,0.24867585
pa,40.24495,0.24694848
bb_percent,40.22779,0.24324507
xobp,40.22683,0.24303758
slg_percent,40.083603,0.21212426
xwoba,40.053234,0.20556961
batting_avg,39.93203,0.17940944
xba,39.893127,0.17101297
p_formatted_ip,39.77604,0.14574121
xiso,39.716606,0.13291349
triple,39.55387,0.09778956
on_base_plus_slg,39.384342,0.06119927
barrel_batted_rate,39.151028,0.010841813
xslg,39.100796,0.0
